Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
Nursing Service Manager,Health Services Managers (1342),1342,134,13,Health Service Managers,Berlin,Pflege for Life GmbH,Outpatient & Ambulatory Care,2026-06-17,Part-time,,"Leadership position responsible for personnel management, customer consultations, and admission management in a nursing context.","3-year nursing qualification, specialized training or degree in nursing management, driving license (class B), and German level B2.","Appreciative team environment, company pension scheme, flexible working hours, and holiday pay.",On-site,https://www.stepstone.de/stellenangebote--Pflegedienstleiter-in-m-w-d-Berlin-Pflege-for-Life-GmbH--14162976-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,nd Maßnahmepläne schreiben Tourenplan und Dienstplan schreiben Profil 3-jährige abgeschlossene Ausbildung als Pflegefachkraft Weiterbildung als Pflegedienstleitung oder ein Studium als | • Tourenplan und Dienstplan schreiben • 3-jährige abgeschlossene Ausbildung als Pflegefachkraft,,Other Healthcare Providers,https://www.stepstone.de/cmp/de/pflege-for-life-gmbh-430581/jobs,job-1,0
Registered Geriatric Nurse,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Pflege for Life GmbH,Long-term Care & Social Services,2026-06-17,Part-time,,"Execution of nursing activities and care documentation under SGB V, including nursing consultations and admission of new clients.","Completed 3-year training as a nurse, geriatric nurse, or healthcare professional, driving license (class B).","Fair pay and working hours, company pension participation, permanent contract, and a modern team culture.",On-site,https://www.stepstone.de/stellenangebote--Examinierte-Pflegefachkraft-Altenpflegerin-m-w-d-Berlin-Pflege-for-Life-GmbH--14126935-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pflege-for-life-gmbh-430581/jobs,job-2,1
Pedagogical Specialist for Disability Housing,Health Professionals NEC (2269),2269,226,22,Health Professionals Not Elsewhere Classified,Berlin,Zukunftssicherung Berlin e. V. für Menschen mit geistiger Behinderung,Long-term Care & Social Services,2026-06-17,Part-time,,"Assisting residents with disabilities in daily life, planning leisure activities, and performing basic nursing tasks and documentation.","Completed training as a curative educator, educator, or nurse; German proficiency (B2).","Tariff-based pay (AVR-DWBO), 13th-month salary, 31 days of holiday, and supplementary company health insurance.",On-site,https://www.stepstone.de/stellenangebote--Paedagogische-Fachkraft-m-w-d-besondere-Wohnform-Ahornallee-Berlin-Zukunftssicherung-Berlin-e-V-fuer-Menschen-mit-geistiger-Behinderung--14029557-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"esetzlichen Betreuer*innen, Arbeitsstätten Grundpflegerische Tätigkeiten Profil abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra | • Grundpflegerische Tätigkeiten • abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/zukunftssicherung-berlin-e-v-f%c3%bcr-menschen-mit-geistiger-behinderung-428427/jobs,job-3,2
Registered Nurse for Disability Housing,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Zukunftssicherung Berlin e. V. für Menschen mit geistiger Behinderung,Long-term Care & Social Services,2026-06-17,Part-time,,"Providing daily living guidance and basic nursing care for residents with disabilities, including development planning and documentation.","Degree in nursing, curative education, or related field; German B2 level; interest in working with people with disabilities.","Tariff-based salary, 13th-month payment, 31 days of holiday, job ticket, and sports membership subsidies.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-besondere-Wohnform-Ahornallee-Berlin-Zukunftssicherung-Berlin-e-V-fuer-Menschen-mit-geistiger-Behinderung--14029512-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"esetzlichen Betreuer*innen, Arbeitsstätten Grundpflegerische Tätigkeiten Profil abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra | • Grundpflegerische Tätigkeiten • abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/zukunftssicherung-berlin-e-v-f%c3%bcr-menschen-mit-geistiger-behinderung-428427/jobs,job-4,3
Educator for Disability Housing,Other/Non-Healthcare (9999),9999,999,99,Other/Non-Healthcare,Berlin,Zukunftssicherung Berlin e. V. für Menschen mit geistiger Behinderung,Long-term Care & Social Services,2026-06-17,Part-time,,"Guidance for residents in everyday life and leisure activities, including pedagogical concept development and basic care duties.",Completed training as an educator (Erzieher) or curative education specialist; German B2 level.,"Pay according to AVR-DWBO, 13th-month salary, 31 days of holiday, and company pension.",On-site,https://www.stepstone.de/stellenangebote--Erzieher-m-w-d-besondere-Wohnform-Ahornallee-Berlin-Zukunftssicherung-Berlin-e-V-fuer-Menschen-mit-geistiger-Behinderung--14029564-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"esetzlichen Betreuer*innen, Arbeitsstätten Grundpflegerische Tätigkeiten Profil abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra | • Grundpflegerische Tätigkeiten • abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/zukunftssicherung-berlin-e-v-f%c3%bcr-menschen-mit-geistiger-behinderung-428427/jobs,job-5,4
Healthcare and Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Zukunftssicherung Berlin e. V. für Menschen mit geistiger Behinderung,Long-term Care & Social Services,2026-06-17,Part-time,,"Supporting residents with disabilities in daily routines and leisure, performing documentation and basic nursing duties.","Qualified nurse, geriatric nurse, or curative educator; teamwork skills and B2 level German.","13th-month salary, 31 days of holiday, company health insurance, and pension scheme.",On-site,https://www.stepstone.de/stellenangebote--Gesundheits-oder-Krankenpfleger-m-w-d-besondere-Wohnform-Ahornallee-Berlin-Zukunftssicherung-Berlin-e-V-fuer-Menschen-mit-geistiger-Behinderung--14029546-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"esetzlichen Betreuer*innen, Arbeitsstätten Grundpflegerische Tätigkeiten Profil abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra | • Grundpflegerische Tätigkeiten • abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/zukunftssicherung-berlin-e-v-f%c3%bcr-menschen-mit-geistiger-behinderung-428427/jobs,job-6,5
Nursing Service Manager,Health Services Managers (1342),1342,134,13,Health Service Managers,Brandenburg,Hoffbauer Stiftung,Long-term Care & Social Services,2026-06-17,Full-time,,"Strategic management role overseeing personnel, roster planning, and nursing process quality coordination.",Examined nurse with specialized PDL training; a degree in nursing management is preferred.,"Permanent contract, above-average tariff-based pay, 13th-month salary, and company pension.",On-site,https://www.stepstone.de/stellenangebote--Pflegedienstleitung-m-w-d-Potsdam-Hoffbauer-Stiftung--14098380-inline.html,HEALTHCARE,Potsdam,2026-06-19,,,,,"e auch Dienstübergaben, Fallbesprechungen und Pflegevisiten Ihr Profil Sie sind examinierte/-r Altenpfleger/-in oder Gesundheits- und Krankenpfleger/-in und verfügen über | gaben, wie auch Dienstübergaben, Fallbesprechungen und Pflegevisiten • Sie sind examinierte/-r Altenpfleger/-in oder Gesundheits- und Krankenpfleger/-in und verfügen über",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/hoffbauer-stiftung-287718/jobs,job-7,6
Dental Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Gemeinschaftspraxis Haensch Inh. Daniel Haensch,Medical & Dental Practices,2026-06-17,Full-time,,"Assisting with chairside dental treatments, managing patient reception, and organizing treatment documentation.",Qualified Dental Assistant (ZFA); reliability and ability to work in a team.,"Christmas bonus, holiday allowance, support for further training, and modern digital equipment.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFA-m-w-d-in-Berlin-Pankow-Berlin-Gemeinschaftspraxis-Haensch-Inh-Daniel-Haensch--14161249-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Mental Health & Rehabilitation,,job-8,7
Educator for Relief Team,Other/Non-Healthcare (9999),9999,999,99,Other/Non-Healthcare,Berlin,Kinder und Jugend der Volkssolidarität Berlin gGmbH,Staffing Agencies & Other,2026-06-17,Full-time,,Mobile childcare specialist supporting different kindergartens and promoting the development of children aged 0-6.,State recognition as an educator or child pedagogue; high flexibility and empathy.,"Tariff-based pay up to 3,861 EUR, flexible assignment concepts, and structured professional environment.",On-site,https://www.stepstone.de/stellenangebote--Erzieher-m-w-d-Springerteam-Berlin-Kinder-und-Jugend-der-Volkssolidaritaet-Berlin-gGmbH--13915937-inline.html,HEALTHCARE,Berlin,2026-06-19,,Anerkennung,,,Ihr Profil eine staatliche Anerkennung als Erzieher (m/w/d) oder vergleichbare Qualifikation (z | es Kindes • eine staatliche Anerkennung als Erzieher (m/w/d) oder vergleichbare Qualifikation (z,,Other Healthcare Providers,https://www.stepstone.de/cmp/de/kinder-und-jugend-der-volkssolidarit%c3%a4t-berlin-ggmbh-125895/jobs,job-9,8
Dental Administrative Assistant,Medical Records and Health Information Technicians (3252),3252,325,32,Medical Records and Health Information Technicians,Berlin,MHC Medical Health Care GmbH,Medical & Dental Practices,2026-06-17,Part-time,,"Managing dental practice administration, billing, and communication with health insurance providers and laboratories.",Training as a Dental Assistant (ZFA) and experience in dental administration (ZMV); fluent German.,"Attractive salary, fixed permanent position, modern practice, and company pension scheme.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Verwaltungsangestellte-ZMV-m-w-d-Berlin-Schoeneberg-MHC-Medical-Health-Care-GmbH--13664393-inline.html,HEALTHCARE,Berlin-Schöneberg,2026-06-19,,,,,der KZV und Laboren Umsetzung der KZV-Rundschreiben Was Sie mitbringen sollten: Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (m/w/d) Erste Berufserfahrung als ZMV So | • Umsetzung der KZV-Rundschreiben • Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (m/w/d),,Medical & Dental Practices,https://www.stepstone.de/cmp/de/mhc-medical-health-care-gmbh-420842/jobs,job-10,9
