Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,City,Visa_Sponsorship,Job_ID,Scope_Category
Professional Driver in Landscaping and Garden Construction,Earthmoving & Construction Plant Operators (8342),8342,834,83,Earthmoving and Related Plant Operators,Berlin,metre GmbH,Direct Employer,2026-06-28,Full-time,,"Operates construction equipment such as wheel loaders, compactors, and cutting machines on landscaping and garden construction sites. Also performs paving, curb setting, fencing, and playground construction work.",Expert knowledge of vehicle operation; experience with construction equipment.,"Friendly working environment, very good pay, team events, company tablets and vehicles, shopping vouchers, immediate permanent hire, work area in Berlin and surroundings.",On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-m-w-d-im-Garten-und-Landschaftsbau-Berlin-metre-GmbH--14205036-inline.html,Berlin,,job-1,LOGISTICS
Professional Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,ISR Recycling GmbH & Co. KG,Direct Employer,2026-06-28,Full-time,,Drives a heavy goods vehicle and carries out assigned transport orders and routes. Handles container and trailer combinations.,Class CE driving license; experience with container and trailer combinations.,"Direct entry with comprehensive onboarding, varied and responsible tasks, motivated team, appreciative company culture, performance-based pay.",On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-in-m-w-d-Wandlitz-ISR-Recycling-GmbH-Co-KG--12797437-inline.html,Wandlitz,,job-2,LOGISTICS
Truck Driver CE for Low-Loader Transports,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Philipp Dunkel GmbH & Co KG Erdbau Abbruch Altlastensanierung,Direct Employer,2026-06-28,Full-time,,"Conducts low-loader transports with 3-axle articulated vehicles and low-bed trailers, as well as transports of construction materials and construction waste. Responsible for the vehicle and related administrative tasks such as maintaining transport records.",Valid Class CE driving license; several years of driving experience with articulated vehicles preferred; experience in low-loader transport; willingness to be flexible.,Not specified.,On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-CE-fuer-Tiefladertransporte-m-w-d-Velten-Philipp-Dunkel-GmbH-Co-KG-Erdbau-Abbruch-Altlastensanierung--14068664-inline.html,Velten,,job-3,LOGISTICS
Driver,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Autohaus Kramm GmbH,Direct Employer,2026-06-28,Part-time,,"Performs vehicle transfers, tows breakdown and accident vehicles, and carries out recovery operations. Opportunity to develop into roadside assistance work.","Driving license class B, C1, or C1E; flexibility regarding working hours; experience driving vans; physical and mental resilience; good communication and social skills; punctual and reliable.","Secure position with varied tasks, above-average pay, training including ADAC courses, enthusiastic team, opportunity to extend driving license.",On-site,https://www.stepstone.de/stellenangebote--Job-Kraftfahrer-m-w-d-Berlin-Autohaus-Kramm-GmbH--14069409-inline.html,Berlin,,job-4,LOGISTICS
Driver for Furniture Transport,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,Plischka Umzüge Potsdam GmbH,Direct Employer,2026-06-28,Full-time,,"Drives a furniture removal vehicle and is responsible for packing, protecting, loading, and unloading household and office goods during relocations. Contributes directly to order fulfilment and customer satisfaction.","Experience in furniture transport desirable; physical fitness required; knowledge of furniture delivery, assembly, route planning, and loading/unloading preferred; short-notice start possible.",Not specified.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrerin-C1-C1E-fuer-den-Moebeltransport-Potsdam-Plischka-Umzuege-Potsdam-GmbH--13826700-inline.html,Potsdam,,job-5,LOGISTICS
Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,Rausch Straßen- und Tiefbau GmbH,Direct Employer,2026-06-28,Full-time,,"Transports and relocates construction machinery using a self-loading vehicle, delivers road construction materials including mastic asphalt, and performs other related haulage tasks.",Class CE driving license; driver card with Module 95 entry; ability to work quickly and carefully; physical resilience; flexibility including seasonal deployment.,"41-hour week April–November, 38-hour week December–March; performance-based pay; adequate induction period; family-like company atmosphere.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-Potsdam-Rausch-Strassen-und-Tiefbau-GmbH--13759559-inline.html,Potsdam,,job-6,LOGISTICS
Truck Driver up to 7.49t,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,Erich Nitsche Möbeltransport-Spedition- Lagerung Inh. Sascha Nitsche,Direct Employer,2026-06-27,Full-time,,"Transports swap-body containers with mattresses and new furniture from the warehouse in Ludwigsfelde to regional furniture retailers. Responsible for careful order picking, load securing, delivery note checking, and basic vehicle maintenance.","Valid Class C1 driving license plus driver card; team player, physically fit; German language skills; punctual and reliable; experience with swap bodies desirable (training provided if needed).","Short decision-making paths, work clothing provided, regular Monday–Friday hours with no weekend or night shifts, performance-based punctual pay, bonus from month 6, company pension after one year.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-in-fuer-Lkw-bis-7-49-t-Fuehrerschein-C1-m-w-d-Ludwigsfelde-Erich-Nitsche-Moebeltransport-Spedition-Lagerung-Inh-Sascha-Nitsche--14204163-inline.html,Ludwigsfelde,,job-7,LOGISTICS
Truck Driver for Fixed Routes,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Billhardt Transport und Logistik GmbH,Direct Employer,2026-06-27,Full-time,,Loads and unloads the delivery vehicle and carries out punctual deliveries to regular customers in Berlin. Responsible for scanning and documenting goods.,"Class C/C1 driving license; punctuality and flexibility; reliability and resilience; customer-facing manner; independent working style; basic knowledge of route planning, goods delivery, and vehicle operation.","Fixed Monday–Friday routes, regular working hours and fixed customers, fair and punctual pay, permanent contract, night shift supplements, travel allowance, work clothing, performance bonuses.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-mit-Fuehrerschein-Klasse-C-C1-fuer-feste-Touren-in-Berlin-Berlin-Billhardt-Transport-und-Logistik-GmbH--14203949-inline.html,Berlin,,job-8,LOGISTICS
Truck Driver CE Long-Distance,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,Erich Nitsche Möbeltransport-Spedition- Lagerung Inh. Sascha Nitsche,Direct Employer,2026-06-27,Full-time,,"Transports swap-body containers nationwide to the company warehouse or directly to furniture retailers in the Berlin-Brandenburg region. Responsible for assigned transport orders in compliance with legal driving and rest-time regulations, including tachograph operation and basic vehicle monitoring.","Valid Class CE driving license plus driver card; team player, physically fit; German language skills; punctual and reliable; experience with swap bodies desirable (training provided if needed).","Short decision-making paths, work clothing provided, regular Monday–Friday hours with no weekend or night shifts, performance-based punctual pay, bonus from month 6, company pension after one year, secure long-term position.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-in-CE-Fernverkehr-m-w-d-Ludwigsfelde-Erich-Nitsche-Moebeltransport-Spedition-Lagerung-Inh-Sascha-Nitsche--14203756-inline.html,Ludwigsfelde,,job-9,LOGISTICS
Truck Driver Local Transport,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Deutsche Post & DHL,Direct Employer,2026-06-26,Full-time,,Carries out punctual collection and delivery of cargo and secures loads within the vehicle on local transport routes. Works in the Berlin-Tempelhof area.,"Valid Class CE driving license with key code 95; ideally experience as a professional driver; experience driving with trailers; willingness to work weekends; reliability, commitment, and physical fitness.",Hourly rate from €18.51 including 50% Christmas bonus; 25% tax-free night supplement from 20:00; additional 50% Christmas bonus in November; up to €332 holiday pay; 27 days annual leave; crisis-proof employment.,On-site,https://www.stepstone.de/stellenangebote--Lkw-Fahrer-Nahverkehr-in-Berlin-Tempelhof-m-w-d-Berlin-Tempelhof-Schoeneberg-Deutsche-Post-DHL--14201779-inline.html,Berlin Tempelhof-Schöneberg,,job-10,LOGISTICS
