Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Job_ID,Scope_Category
Sales Representative Field Service,Other/Non-Hospitality,3322,332,33,Commercial Sales Representatives,Berlin,HOBART GmbH,Staffing Agencies & Other,2026-06-15,Full-time,,"Field sales role focused on acquiring new customers and distribution partners for commercial dishwashing and cooking equipment, including lead generation, offer preparation, and negotiations. The role also supports trade partner sales staff and a sales engineer on acquisition and sales projects.",Completed vocational training as a chef with professional experience; additional commercial training advantageous; initial field sales experience with proven sales success; knowledge of commercial kitchen technology advantageous; strong communication and sales skills; structured and careful working style.,"Onboarding including welcome day and individual induction; well-being offerings including Hansefit, health initiatives, bike leasing, and psychosocial counseling; corporate benefits portal; job-specific further development opportunities.",On-site,https://www.stepstone.de/stellenangebote--Verkaufsberater-im-Aussendienst-m-w-d-Region-Berlin-Brandenburg-Berlin-Brandenburg-HOBART-GmbH--14152611-inline.html,job-1,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Berlin,Korian Deutschland GmbH,Catering & Events,2026-06-15,Full-time,,"Prepares hot and cold dishes, contributes to menu planning, and monitors storage and refrigeration rooms while ensuring compliance with HACCP hygiene guidelines in a care home setting.","Completed vocational training as a cook or equivalent qualification; experience with dietary cooking desirable; flexibility and enthusiasm for new ideas; communication skills, reliability, and commitment; PC skills and driving license class B desirable.",Early shift scheduling; regular working hours; family-friendly employer; secure employment; individual development opportunities; 28 days annual leave on a 5-day week; generous anniversary bonuses; access to corporate benefits portal; Korian benefit card with tax-free allowance.,On-site,https://www.stepstone.de/stellenangebote--Koch-Koechin-w-m-d-Berlin-Korian-Deutschland-GmbH--13752166-inline.html,job-2,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Brandenburg,meinestadt.de,Catering & Events,2026-06-15,Full-time,,"Processes and prepares food at an assigned kitchen station, including independent management of the station, assists with food service, and ensures cleanliness and HACCP hygiene standards in the kitchen area.",Successfully completed vocational training and several years of professional experience as a cook; strong service orientation and reliability.,Not specified,On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-Ludwigsfelde-meinestadt-de--13973705-inline.html,job-3,HOSPITALITY
Cook and Trainer for School Kitchen,Cooks (5120),5120,512,51,Cooks,Berlin,"ubs e.V. - umwelt, bildung, sozialarbeit",Catering & Events,2026-06-15,Full-time,,"Prepares meals using a cook-and-hold method for schools and daycare centers, deputizes for the kitchen manager, trains apprentices, and manages kitchen organization, menu planning, procurement, and compliance with hygiene and quality standards.","Completed vocational training as a cook with enthusiasm for communal catering; training qualification (AEVO) desirable; patience and empathy when working with young people; flexibility, engagement, and good work planning; safe food production skills; extended knowledge as required.",Strong kitchen and training team; family-like work atmosphere with direct access to management; regular weekday working hours with good staffing levels; pay according to in-house collective agreement; further training opportunities.,On-site,https://www.stepstone.de/stellenangebote--Koch-Ausbilder-fuer-die-Schulkueche-m-w-d-Berlin-ubs-e-V-umwelt-bildung-sozialarbeit--13908667-inline.html,job-4,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Berlin,Gemeinschaftskrankenhaus Havelhöhe gGmbH,Catering & Events,2026-06-15,Full-time,,"Supports implementation of the hospital's food concept and supplier network, independently prepares dishes according to recipes, contributes ideas for menu development including vegetarian and vegan options, and helps optimize kitchen workflows in a hospital setting.","Completed cook training with several years of professional experience; HACCP and hygiene knowledge; enthusiasm for fresh cooking and healthy nutrition; service orientation and good communication skills; openness to collaborative leadership, independent working style, and high self-responsibility.",Performance-based pay plus pension and possible child allowance; Havelhöhe comfort card with monthly €45 non-cash benefit after probation; work clothing and laundry on site; 30 days annual leave and regular working hours.,On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-Berlin-Gemeinschaftskrankenhaus-Havelhoehe-gGmbH--13257496-inline.html,job-5,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Berlin,Waldhotel Schmöckwitz GmbH,Hotels & Accommodation,2026-06-14,Full-time,,"Prepares fresh, high-quality dishes for à-la-carte service, conferences, and events at a hotel, independently manages a kitchen station, ensures smooth operations, and handles goods ordering, receipt, and quality control while adhering to HACCP hygiene standards.",Completed vocational training as a cook; structured and independent working style; strong quality awareness and initiative; adherence to HACCP hygiene regulations and maintenance of a clean workspace.,Work in a green natural setting within Berlin; small team with room for initiative and creativity; possibility of accommodation in the guest house; discounted rates at the hotel and restaurant.,On-site,https://www.stepstone.de/stellenangebote--Engagierter-Koch-m-w-d-mit-hands-on-Mentalitaet-gesucht-Berlin-Waldhotel-Schmoeckwitz-GmbH--13965570-inline.html,job-6,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Berlin,USE Union Sozialer Einrichtungen gGmbH,Catering & Events,2026-06-13,Part-time,,"Supervises and works alongside people with mental illness in daycare and canteen kitchens, plans menus, organizes work steps accessibly for all team members, and initially works as a relief across multiple kitchens before taking charge of a permanent kitchen team.","Completed vocational training as a cook, ideally with professional experience; openness to working with people with mental illness; teamwork and communication skills; independent and economical working style; resilience and broad job-related expertise.",Pay according to USE gGmbH compensation system with bonus payments; work-life balance with 30 days annual leave plus Christmas Eve and New Year's Eve off; regular hours in full or part time with no shift work; company pension and other benefits.,On-site,https://www.stepstone.de/stellenangebote--Koch-Koechin-m-w-d-fuer-ein-Sozialunternehmen-in-Berlin-Berlin-USE-Union-Sozialer-Einrichtungen-gGmbH--12140419-inline.html,job-7,HOSPITALITY
Property Management Specialist,Other/Non-Hospitality,4141,414,41,General Office Clerks,Berlin,Stern/Edelstein Grundstücks GbR,Staffing Agencies & Other,2026-06-13,Full-time,,"Manages tenant relations and correspondence, prepares utility cost statements and rental agreements, supports apartment handovers, reviews invoices, oversees maintenance measures, and maintains master data for a residential property management company.",Completed commercial training and qualification as a real estate management specialist; structured and independent working style; proficiency in MS Office; basic bookkeeping knowledge.,Permanent employment contract in a stable property management company; independent work without unnecessary hierarchies; fair working hours without permanent availability requirements; modern work processes and structured organization; personal appreciation over anonymous corporate structures.,On-site,https://www.stepstone.de/stellenangebote--Immobilienverwaltungsfachkraft-m-w-d-Berlin-Stern-Edelstein-Grundstuecks-GbR--13905667-inline.html,job-8,HOSPITALITY
IT Administrator,Other/Non-Hospitality,2522,252,25,Systems Administrators,Berlin,P+P Pöllath + Partners Rechtsanwälte und Steuerberater mbB,Staffing Agencies & Other,2026-06-13,Full-time,,"Supports the IT team with current and upcoming software projects, independently resolves 2nd and 3rd level incidents after onboarding, and plans and implements IT projects at a law and tax advisory firm.",Enthusiasm for IT and technical challenges; completed training as an IT specialist for system integration or equivalent; several years of experience as an IT administrator; experience with Microsoft server operating systems and Microsoft 365; high sense of responsibility; team and communication skills.,Flexible working with hybrid models and flexible hours; collegial and respectful environment in a renowned law firm; individual training and development opportunities.,Remote,https://www.stepstone.de/stellenangebote--IT-Administrator-m-w-d-Berlin-P-P-Poellath-Partners-Rechtsanwaelte-und-Steuerberater-mbB--14082155-inline.html,job-9,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Berlin,IntercityHotel Berlin Hauptbahnhof,Hotels & Accommodation,2026-06-13,Full-time,,"Plans and prepares food for breakfast, à-la-carte, and conference or group events at a hotel, ensuring smooth operations even during peak periods while maintaining HACCP and hygiene standards and supporting professional kitchen workflows.","Completed training as a cook or practical experience in a hotel kitchen, gastronomy, or breakfast service; knowledge of HACCP and hygiene regulations; structured, reliable, and team-oriented working style; willingness to work rotating shifts.",Attractive employee rates at group hotels; corporate benefits; extensive training including e-learning platform; cross-training opportunities; employee support association and social day; Christmas and holiday bonuses; capital-forming benefits; anniversary payments; Deutschlandticket subsidy.,On-site,https://www.stepstone.de/stellenangebote--Koch-all-genders-Berlin-IntercityHotel-Berlin-Hauptbahnhof--14084182-inline.html,job-10,HOSPITALITY
Senior Project Manager Product Development,Other/Non-Hospitality,1221,122,12,Sales and Marketing Managers,Berlin,STUR GmbH,Staffing Agencies & Other,2026-06-13,Full-time,,"Manages the development of new products and further development of existing premium design cookware and associated materials from concept to market launch, coordinating internal stakeholders and external service providers across design, procurement, supply chain, quality assurance, and marketing.","Degree in business administration, engineering, or comparable qualification; several years of experience in consumer goods product development, ideally cookware or household appliances; strong sense of product design, quality standards, and manufacturing details.","30 days annual leave; flexible working hours and home office with weekly Berlin office presence; Apple MacBook and accessories; €1,500 annual training budget; subsidized sports offering.",Remote,https://www.stepstone.de/stellenangebote--Senior-Projektmanager-in-Produktentwicklung-Berlin-STUR-GmbH--14149255-inline.html,job-11,HOSPITALITY
Bakery Branch Sales Assistant,Cashiers (5230),5230,523,52,Cashiers and Ticket Clerks,Berlin,Schäfers Brot,Restaurants & Food Service,2026-06-13,Part-time,,"Operates the cash register and handles settlements, ensures attractive product presentation, bakes dough pieces and finishes goods, and works in accordance with quality guidelines and legal regulations at a bakery retail branch.","Enjoyment of customer interaction; flexibility, reliability, and team orientation; ideally sales experience at a service counter or in gastronomy with product knowledge; training as a specialist food retail salesperson or retail sales assistant preferred; career changers also welcome.",Performance-based pay with collective agreement special payments and various social benefits; secure employment in a growing company; competent and motivated team.,On-site,https://www.stepstone.de/stellenangebote--Verkaeuferin-Baeckereifiliale-m-w-d-Berlin-Schaefers-Brot--13956562-inline.html,job-12,HOSPITALITY
Therapeutic Education Specialist for Family-Style Residential Group,Other/Non-Hospitality,3412,341,34,Social Work Associate Professionals,Berlin,Kinder- und Jugendhilfeverbund / KJSH-Stiftung Berlin-Brandenburg,Staffing Agencies & Other,2026-06-13,Part-time,,"Provides individual support and implements educational measures for children in a family-style residential group, covers the group during the resident educator's absence, and plans and runs leisure activities while promoting social skills.","Completed training or degree as a therapeutic educator; experience working with children, including internships.","Pay according to AVB KJSH collective agreement (from €3,389 gross/month full-time) plus weekend, night, and public holiday supplements; 30 days annual leave; voluntary annual special payment; occupational pension (VBLU); transport subsidy.",On-site,https://www.stepstone.de/stellenangebote--Heilpaedagogische-Fachkraft-fuer-familienanaloge-Wohngruppe-m-w-d-Berlin-Kinder-und-Jugendhilfeverbund-KJSH-Stiftung-Berlin-Brandenburg--14012955-inline.html,job-13,HOSPITALITY
Delivery Driver with Fleet Experience,Other/Non-Hospitality,8322,832,83,"Car, Taxi and Van Drivers",Not specified,Markthalle Neun GmbH,Restaurants & Food Service,2026-06-13,Part-time,,"Delivers and collects temperature-controlled goods to customers, cleans and maintains the vehicle fleet, and handles loading and unloading of refrigerated products for a specialty food market.","Driving license class B up to 3.5t with experience driving vans; passion for artisan and organic food; enjoyment of direct customer, producer, and supplier contact; experience with operational business processes; independent and responsible working style; reliability.","Attractive hourly wage; forward-looking and growing company; pleasant customer base; varied work in a committed team; inspiring environment of passionate food producers, craftspeople, and traders.",On-site,https://www.stepstone.de/stellenangebote--Auslieferungsfahrer-in-mit-Fuhrpark-Erfahrung-Kreuzberg-Berlin-Deutschland-Markthalle-Neun-GmbH--13305300-inline.html,job-14,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Berlin,INDEPENDENT LIVING Stiftung,Catering & Events,2026-06-13,Full-time,,"Organizes, prepares, and serves breakfast, lunch, and afternoon snacks using fresh cooking methods in daycare centers, takes overall responsibility for the kitchen, creates meal plans, manages procurement and goods receipt, and ensures HACCP compliance across five Berlin daycare facilities.","Vocational training as a cook or several years of relevant work experience; flexibility and motivation; teamwork, commitment, reliability, and independent working style; interest in working in a childcare environment; strong knowledge of HACCP quality and hygiene standards; German language proficiency.","Comprehensive onboarding and forward-looking scheduling; secure employment with development prospects; working hours of 7 hours daily, 35 hours weekly with no public holiday or weekend work; high-quality work clothing.",On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-Berlin-INDEPENDENT-LIVING-Stiftung--14020044-inline.html,job-15,HOSPITALITY
Account Manager,Other/Non-Hospitality,2433,243,24,Technical and Medical Sales Professionals (excluding ICT),Berlin,Terra One Climate Solutions GmbH,Staffing Agencies & Other,2026-06-13,Full-time,,"Manages and converts an inbound-driven B2B pipeline from first contact to signed letter of intent, qualifies leads from renewable energy asset owners and cooperatives, maintains CRM systems, and communicates the commercial value of energy storage and direct marketing solutions.",2–3+ years of B2B sales in renewable energy or related infrastructure with exposure to utility-scale PV and wind; proven experience negotiating and closing complex commercial contracts; solid understanding of renewable asset economics and stakeholder structures; structured and performance-oriented working style.,Responsible role with steep learning curve; insights into a growing climate-tech company; modern office with rooftop terrace and in-house chef; free snacks and drinks; international and mission-driven team; flexible remote work options.,Remote,https://www.stepstone.de/stellenangebote--Account-Manager-Berlin-Terra-One-Climate-Solutions-GmbH--14014377-inline.html,job-16,HOSPITALITY
Cook Apprentice,Kitchen Helpers (9412),9412,941,94,Kitchen Helpers,Berlin,Hotel Drakestraße Betriebsgesellschaft mbH Das Stue,Hotels & Accommodation,2026-06-13,Full-time,,"Apprenticeship training covering food preparation and cooking, fundamental kitchen techniques, menu creation, cost calculation, food knowledge and quality control, and hygiene regulations across all kitchen stations at a luxury hotel.",Enthusiasm for good food; flexibility; teamwork and organizational skills; results-oriented working style; structured and hands-on approach; quality awareness; fluent German and English.,BVG transport subsidy of €30 toward the Deutschlandticket; Edenred card loaded with €50 tax-free per month from the third month onward; Nilo app access; workshops and exchange groups on various topics.,On-site,https://www.stepstone.de/stellenangebote--Ausbildung-zum-Koch-Koechin-m-w-d-ab-01-08-SO-Berlin-Das-Stue-Hotel-Drakestrasse-Betriebsgesellschaft-mbH-Das-Stue--13887472-inline.html,job-17,HOSPITALITY
"Allrounder: Delivery, Order Picking, and Goods Receipt",Other/Non-Hospitality,9333,933,93,Freight Handlers,Not specified,Markthalle Neun GmbH,Restaurants & Food Service,2026-06-13,Part-time,,"Handles delivery and collection of temperature-controlled goods, vehicle fleet maintenance, detailed goods receipt inspection according to organic standards, order picking and packaging in a cold store, warehouse management, and quality assurance of fresh produce for a specialty food market.",Driving license class B up to 3.5t with van driving experience; passion for artisan and organic food; enjoyment of direct customer and producer contact; experience with operational business processes; independent and responsible working style; reliability.,"Attractive hourly wage; forward-looking and growing company; pleasant customer base; varied work in a committed team; inspiring environment of passionate food producers, craftspeople, and traders.",On-site,https://www.stepstone.de/stellenangebote--Allrounder-in-gesucht-Auslieferung-Kommissionierung-und-Warenannahme-Kreuzberg-Berlin-Deutschland-Markthalle-Neun-GmbH--13305299-inline.html,job-18,HOSPITALITY
Operations Manager,Restaurant Managers (1412),1412,141,14,Restaurant Managers,Berlin,RGP Verpflegungsmanagement GmbH & Co.KG für das Gesundheitswesen,Catering & Events,2026-06-13,Full-time,,"Oversees catering and food management operations in a healthcare setting, including staff coaching, analysis and consulting, kitchen planning, and quality and process management with a focus on procurement optimization.",Budget and cost calculation competence; leadership experience in hospitality or communal catering; confident and independent management style; leadership and motivational skills; creativity combined with resilience; solid IT skills.,Thorough onboarding; regular working hours; flat hierarchies; appropriate remuneration; company car; Christmas bonus; monthly performance bonus; on-site accommodation option.,On-site,https://www.stepstone.de/stellenangebote--Betriebsleiter-in-w-m-d-Berlin-RGP-Verpflegungsmanagement-GmbH-Co-KG-fuer-das-Gesundheitswesen--13730095-inline.html,job-19,HOSPITALITY
Key Account Manager Retail and Drugstore,Other/Non-Hospitality,2433,243,24,Technical and Medical Sales Professionals (excluding ICT),Bayern,jufico GmbH,Staffing Agencies & Other,2026-06-15,Full-time,,"Builds and manages key customer relationships with retail and drugstore buyers, develops sales strategies, negotiates assortments, and manages revenue, volume, promotions, and budget planning for an FMCG food company.","Degree in business or comparable commercial training; several years of key account management experience, ideally in the food industry or FMCG; strong, persuasive personality with a customer-focused approach; flexibility and problem-solving ability.",Responsible and varied role with significant autonomy; owner-managed company with innovative mindset; flat hierarchies and short decision-making paths; open corporate culture; development and training opportunities; family-like atmosphere.,Remote,https://www.stepstone.de/stellenangebote--Key-Account-Manager-LEH-Drogerie-m-w-d-in-Vollzeit-Krailling-jufico-GmbH--14154490-inline.html,job-20,HOSPITALITY
Station Cook,Cooks (5120),5120,512,51,Cooks,Bayern,Park Café München,Restaurants & Food Service,2026-06-15,Full-time,,Prepares fresh dishes with a passion for sweets and baked goods while maintaining all hygiene and food safety standards as part of a kitchen team at Park Café München.,"Completed vocational training as a cook, or alternatively several years of experience as a kitchen worker; team spirit and motivation to deliver something special every day.","Highly professional team, benefits of a large modern operation, no split shifts, high technical standards and well-equipped workspaces, regular training and personal development support, central Munich location.",On-site,https://www.stepstone.de/stellenangebote--Stationskoch-m-w-d-Muenchen-Park-Cafe-Muenchen--7223837-inline.html,job-21,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Bayern,Aparthotel WunderLocke,Hotels & Accommodation,2026-06-14,Part-time,,"Cook role at Aparthotel WunderLocke requiring flexibility and effective communication with colleagues, guests, and management in a dynamic international environment.",Ambition and courage for personal development; self-confidence to act quickly and take calculated risks; solid time management and organisational skills; creativity and flexibility; German proficiency (written and spoken).,Public transport subsidy (up to 61% of Deutschlandticket); Corporate Benefits programme; international environment with diverse development opportunities; edyn Mates Rates for friends and family at all edyn properties; company-wide benefits.,On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-Muenchen-Aparthotel-WunderLocke--12558207-inline.html,job-22,HOSPITALITY
Working Student Graphic Design,Other/Non-Hospitality (9999),2166,216,21,Graphic and Multimedia Designers,Bayern,HappyBrush GmbH,Staffing Agencies & Other,2026-06-14,Full-time,,"Student role supporting the design team at HappyBrush GmbH in creating digital visuals, content for online platforms and social media channels, and paid social media advertising materials.","Currently studying graphic design, communication design, digital media, or similar; creative mindset; proficiency in Adobe Creative Suite; portfolio of work samples required.",Opportunity to contribute ideas and take responsibility; dynamic and innovative team environment in Munich; flexible working hours; team events.,Remote,https://www.stepstone.de/stellenangebote--Werkstudentin-Grafikdesign-Munich-HappyBrush-GmbH--13960877-inline.html,job-23,HOSPITALITY
Working Student Graphic Design,Other/Non-Hospitality (9999),2166,216,21,Graphic and Multimedia Designers,Bayern,HappyBrush GmbH,Staffing Agencies & Other,2026-06-14,Full-time,,"Student role supporting the design team at HappyBrush GmbH in creating digital visuals, content for online platforms and social media channels, and paid social media advertising materials.","Currently studying graphic design, communication design, digital media, or similar; creative mindset; proficiency in Adobe Creative Suite; portfolio of work samples required.",Opportunity to contribute ideas and take responsibility; dynamic and innovative team environment in Munich; flexible working hours; team events.,Remote,https://www.stepstone.de/stellenangebote--Werkstudentin-Grafikdesign-Muenchen-HappyBrush-GmbH--13960815-inline.html,job-24,HOSPITALITY
IT Support Specialist,Other/Non-Hospitality (9999),3512,351,35,Information and Communications Technology User Support Technicians,Bayern,P+P Pöllath + Partners Rechtsanwälte und Steuerberater mbB,Staffing Agencies & Other,2026-06-13,Full-time,,Provides end-user support and administration of Windows-based IT infrastructure across three networked sites with approximately 500 clients and 150 servers for a leading law firm in Munich.,"Enthusiasm for IT and technical challenges; initial experience in IT support; knowledge of Windows OS, Active Directory, and Exchange advantageous; strong problem-solving skills; high service orientation and communication skills.",Flexible working with hybrid models; professional and collegial environment in a renowned law firm; individual training and development opportunities.,Remote,https://www.stepstone.de/stellenangebote--Mitarbeiter-m-w-d-im-IT-Support-Muenchen-P-P-Poellath-Partners-Rechtsanwaelte-und-Steuerberater-mbB--14082153-inline.html,job-25,HOSPITALITY
Vehicle Detailer,Other/Non-Hospitality (9999),8322,832,83,"Car, Taxi and Van Drivers",Bayern,SF Sportcars GmbH,Staffing Agencies & Other,2026-06-13,Full-time,,"Responsible for interior and exterior cleaning, polishing, paint correction, paint sealing, film removal, and preparation of customer and sales vehicles for delivery at a sports car dealership in Unterföhring.",Qualified training and professional experience in the field; minimum 3 years of verifiable experience; friendly manner with colleagues and customers; conscientiousness; reliability; Class B driving licence.,Family and respectful work environment; further training opportunities; Urban Sports Club membership; regular team events; tip sharing; performance bonuses including company car; in-house cook; free hot drinks.,On-site,https://www.stepstone.de/stellenangebote--Fahrzeug-Aufbereiter-in-m-w-d-Unterfoehring-SF-Sportcars-GmbH--13689783-inline.html,job-26,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Bayern,Poseidon am Viktualienmarkt,Restaurants & Food Service,2026-06-13,Part-time,,"Prepares high-quality fish dishes and seafood in an open kitchen at Poseidon am Viktualienmarkt, contributing actively to menu development while maintaining HACCP hygiene standards and managing kitchen operations independently.","Completed culinary training or several years of solid professional experience; passion for fish and seafood; high quality awareness; independent, structured, and reliable working style.",Permanent open-ended contract (full or part-time) in an establishment with over 40 years of history; staff accommodation available if needed; fixed working days and predictable hours without split shifts.,On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-Muenchen-Poseidon-am-Viktualienmarkt--13950410-inline.html,job-27,HOSPITALITY
